step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,41,1,0.0024564714230223966,1.0,1.0,0.007214152546878504,1.0,1.0,,
2,82,2,0.00336388803201838,1.0,1.0,,,,,
3,115,3,0.008318789188687305,1.0,1.0,,,,,
4,156,4,0.00420729900523952,1.0,1.0,,,,,
5,197,5,0.010746615967038893,1.0,1.0,,,,,
6,230,6,0.0037713447382959945,1.0,1.0,,,,,
7,271,7,0.002938032473602732,1.0,1.0,,,,,
8,304,8,0.011067551407412425,1.0,1.0,,,,,
9,345,9,0.003807816186793773,1.0,1.0,0.004911846719539425,1.0,1.0,,
10,394,10,0.0036904365152368402,1.0,1.0,,,,,
11,435,11,0.0038136579820005068,1.0,1.0,,,,,
12,476,12,0.0031996790845767475,1.0,1.0,,,,,
13,517,13,0.005320425724559869,1.0,1.0,,,,,
14,566,14,0.0032448011010707493,1.0,1.0,,,,,
15,599,15,0.005014647836185144,1.0,1.0,,,,,
16,624,16,0.012999431992848257,1.0,1.0,,,,,
17,665,17,0.0026328812240783645,1.0,1.0,0.004692594710547789,1.0,1.0,,
18,706,18,0.004519314291441219,1.0,1.0,,,,,
19,755,19,0.002083007930509666,1.0,1.0,,,,,
20,796,20,0.00533083225788246,1.0,1.0,,,,,
21,829,21,0.00461285923227976,1.0,1.0,,,,,
22,862,22,0.006081271459327696,1.0,1.0,,,,,
23,903,23,0.00380783867809123,1.0,1.0,,,,,
24,944,24,0.003063969536506321,1.0,1.0,,,,,
25,985,25,0.00419468281521418,1.0,1.0,0.005853281548002273,1.0,1.0,,
26,1026,26,0.0029416869558807016,1.0,1.0,,,,,
27,1075,27,0.002101387330531862,1.0,1.0,,,,,
28,1124,28,0.006222673422137177,1.0,1.0,,,,,
29,1173,29,0.0063373806063426715,1.0,1.0,,,,,
30,1222,30,0.004326713482303743,1.0,1.0,,,,,
31,1263,31,0.004002332850348295,1.0,1.0,,,,,
32,1296,32,0.0025285820360987548,1.0,1.0,,,,,
33,1337,33,0.004805734986565498,1.0,1.0,0.0020870113672327405,1.0,1.0,,
34,1378,34,0.0032906185277220747,1.0,1.0,,,,,
35,1419,35,0.0072962366743262235,1.0,1.0,,,,,
36,1460,36,0.0033518804872259833,1.0,1.0,,,,,
37,1493,37,0.005708899866223191,1.0,1.0,,,,,
38,1526,38,0.004788534066921297,1.0,1.0,,,,,
39,1567,39,0.015881955403344396,1.0,1.0,,,,,
40,1600,40,0.005790376850857228,1.0,1.0,,,,,
41,1633,41,0.007038799695312843,1.0,1.0,0.00484183047056629,1.0,1.0,,
42,1674,42,0.005753941921522711,1.0,1.0,,,,,
43,1731,43,0.0022414856897925366,1.0,1.0,,,,,
44,1772,44,0.004365909919142013,1.0,1.0,,,,,
45,1813,45,0.060786781333442334,0.0,0.8571428571428571,,,,,
46,1862,46,0.003682039115786478,1.0,1.0,,,,,
47,1887,47,0.004276993879781159,1.0,1.0,,,,,
48,1920,48,0.0035480501818253175,1.0,1.0,,,,,
49,1953,49,0.0034078656327388756,1.0,1.0,0.005834520855030026,1.0,1.0,,
50,2002,50,0.004627713400554324,1.0,1.0,,,,,
51,2043,51,0.002425643450313487,1.0,1.0,,,,,
52,2084,52,0.00516566666222326,1.0,1.0,,,,,
53,2125,53,0.002627683240549413,1.0,1.0,,,,,
54,2190,54,0.006337313468073376,1.0,1.0,,,,,
55,2239,55,0.00395429464407299,1.0,1.0,,,,,
56,2272,56,0.005527508537000471,1.0,1.0,,,,,
57,2313,57,0.004154588913121757,1.0,1.0,0.01483113668396887,1.0,1.0,,
58,2354,58,0.004241134424866857,1.0,1.0,,,,,
59,2395,59,0.0035199711524169287,1.0,1.0,,,,,
60,2444,60,0.005678567671800358,1.0,1.0,,,,,
61,2493,61,0.0035298166852252657,1.0,1.0,,,,,
62,2542,62,0.0049072692706889735,1.0,1.0,,,,,
63,2575,63,0.007281275409031238,1.0,1.0,,,,,
64,2608,64,0.00496482675106762,1.0,1.0,,,,,
65,2641,65,0.005881767298262659,1.0,1.0,0.005184056609164428,1.0,1.0,,
66,2674,66,0.004476008382885031,1.0,1.0,,,,,
67,2707,67,0.003972480226849293,1.0,1.0,,,,,
68,2740,68,0.004020576014743399,1.0,1.0,,,,,
69,2781,69,0.002390951851105399,1.0,1.0,,,,,
70,2822,70,0.021676247642192722,1.0,1.0,,,,,
71,2863,71,0.005988524916517449,1.0,1.0,,,,,
72,2904,72,0.005920233338032774,1.0,1.0,,,,,
73,2945,73,0.0038556920885397406,1.0,1.0,0.006875131588308875,1.0,1.0,,
74,2986,74,0.002755985159902196,1.0,1.0,,,,,
75,3027,75,0.005144127498120924,1.0,1.0,,,,,
76,3076,76,0.004059474128987226,1.0,1.0,,,,,
77,3125,77,0.005132025493169673,1.0,1.0,,,,,
78,3158,78,0.003024935668127267,1.0,1.0,,,,,
79,3199,79,0.00827818146228242,1.0,1.0,,,,,
80,3240,80,0.0023625962181413624,1.0,1.0,,,,,
81,3273,81,0.005929891350897609,1.0,1.0,0.0038316531875258165,1.0,1.0,,
82,3354,82,0.012319651561262615,1.0,1.0,,,,,
83,3387,83,0.0028752933933822076,1.0,1.0,,,,,
84,3428,84,0.0064978258353955605,1.0,1.0,,,,,
85,3485,85,0.003308219766784146,1.0,1.0,,,,,
86,3534,86,0.0031056735173757956,1.0,1.0,,,,,
87,3575,87,0.004199475775809233,1.0,1.0,,,,,
88,3624,88,0.005909770922355347,1.0,1.0,,,,,
89,3657,89,0.007475491162962573,1.0,1.0,0.004874754693507788,1.0,1.0,,
90,3690,90,0.002281634251083062,1.0,1.0,,,,,
91,3731,91,0.003564640091928765,1.0,1.0,,,,,
92,3764,92,0.003698655655676144,1.0,1.0,,,,,
93,3805,93,0.0037523309826171525,1.0,1.0,,,,,
94,3854,94,0.002888466777891718,1.0,1.0,,,,,
95,3887,95,0.0018068510142082062,1.0,1.0,,,,,
96,3928,96,0.00324286213151812,1.0,1.0,,,,,
97,3969,97,0.004229336535157064,1.0,1.0,0.008220074280782655,1.0,1.0,1.0,1.0
98,4010,98,0.001137280192549753,1.0,1.0,,,,,
99,4051,99,0.003674508186982848,1.0,1.0,,,,,
100,4092,100,0.0029148238606285302,1.0,1.0,,,,,
101,4141,101,0.0020670305317868312,1.0,1.0,,,,,
102,4182,102,0.002320136846863054,1.0,1.0,,,,,
103,4215,103,0.003833649168490028,1.0,1.0,,,,,
